Team,Date,Time,Venue,Opponent,Goal Scored,Goal Conceded,Results,Stadium,FoulF,FoulA,CornerF,CornerA,OffF,OffA,ShotF,ShotA,ShotOffF,ShotOffA,ShotOnF,ShotOnA,Venue_Code,Team_code,opp_code,hour,day_code,target,Goal Scored_rolling,Goal Conceded_rolling,ShotF_rolling,ShotOnF_rolling,CornerF_rolling,CornerA_rolling,OffF_rolling,OffA_rolling,FoulF_rolling,FoulA_rolling
Johor Darul Ta'zim,27/9/2023,21:00,H,PDRM FC,4,0,W,STADIUM SULTAN IBRAHIM  ISKANDAR PUTERI,11,11,4,0,3,2,17,1,11,0,6,1,1,0,8,21,2,1,4.666666667,0.666666667,18,7.333333333,6.333333333,2,2,1,15.66666667,17.66666667
Kedah Darul Aman,30/9/2023,21:00,A,KUALA LUMPUR CITY FC,1,0,W,STADIUM BOLASEPAK KUALA LUMPUR CHERAS,9,7,10,0,1,2,22,5,13,4,9,1,0,1,4,21,5,1,1.666666667,3,8.666666667,3,4,6,2,3.666666667,12,13.33333333
Kelantan,8/9/2023,21:00,H,NEGERI SEMBILAN FC,2,0,W,STADIUM SULTAN MUHAMMAD KE-IV  KOTA BHARU,8,12,5,11,2,1,10,14,5,12,5,2,1,2,7,21,4,1,0.666666667,7.333333333,5,2.333333333,1.666666667,6,1,3.666666667,10.66666667,7.333333333
Kelantan United,27/8/2023,21:00,H,SRI PAHANG FC,1,5,L,STADIUM SULTAN MUHAMMAD KE-IV  KOTA BHARU,13,10,7,2,2,4,23,20,17,10,6,10,1,3,15,21,6,0,1.333333333,3,8.666666667,2.333333333,1,5,2.333333333,2.333333333,13,10.33333333
Kuala Lumpur City,30/9/2023,21:00,H,KEDAH DARUL AMAN FC,0,1,L,STADIUM BOLASEPAK KUALA LUMPUR CHERAS,7,9,0,10,2,1,5,22,4,13,1,9,1,4,1,21,5,0,2,1.666666667,11,3.666666667,2,6.333333333,1,1,10.66666667,9.333333333
Kuching City,30/9/2023,21:00,A,SRI PAHANG FC,2,3,L,STADIUM DARUL MAKMUR  KUANTAN,17,13,8,6,0,1,8,14,6,6,2,8,0,5,15,21,5,0,1,2.333333333,6.666666667,2,4,6.666666667,1.333333333,1,13.33333333,9.666666667
Negeri Sembilan,8/9/2023,21:00,A,KELANTAN FC,0,2,L,STADIUM SULTAN MUHAMMAD KE-IV  KOTA BHARU,12,8,11,5,1,2,14,10,12,5,2,5,0,7,2,21,4,0,1.333333333,3.666666667,8,4.666666667,3.666666667,6.666666667,2.333333333,3.666666667,10.66666667,11
PDRM,27/9/2023,21:00,A,JOHOR DARUL TA'ZIM,0,4,L,STADIUM SULTAN IBRAHIM  ISKANDAR PUTERI,11,11,0,4,2,3,1,17,0,11,1,6,0,8,0,21,2,0,1.666666667,2,11,3.333333333,4.666666667,2.666666667,1.666666667,1.666666667,16.33333333,12.66666667
Penang,8/9/2023,21:00,A,PERAK FC,1,3,L,STADIUM PERAK  IPOH,9,17,6,3,5,2,17,11,12,7,5,4,0,9,10,21,4,0,1.666666667,2.333333333,9.333333333,3.333333333,3.666666667,5,1.666666667,1.666666667,13.66666667,15
Perak,8/9/2023,21:00,H,PENANG FC,3,1,W,STADIUM PERAK  IPOH,17,9,3,6,2,5,11,17,7,12,4,5,1,10,9,21,4,1,0,3.333333333,8,1.666666667,4.666666667,7,0.333333333,2.333333333,10.33333333,11
PJ CITY FC,15/9/2022,21:00,H,JOHOR DARUL TA'ZIM,2,2,D,STADIUM MAJLIS BANDARAYA PETALING JAYA,16,16,3,1,1,2,3,11,0,6,3,5,1,11,0,21,3,0,0.666666667,2.333333333,9,3,3.333333333,4,2.333333333,1,11.33333333,15.33333333
Sabah,8/9/2023,20:15,H,JOHOR DARUL TA'ZIM,1,5,L,STADIUM LIKAS  KOTA KINABALU,26,15,1,3,1,1,2,13,1,6,1,7,1,12,0,20,4,0,3.333333333,2,13.33333333,5.666666667,6.666666667,3.666666667,1,2.666666667,12,10.33333333
Selangor,29/9/2023,21:00,A,TERENGGANU FC,4,0,W,STADIUM SULTAN MIZAN ZAINAL ABIDIN  GONG BADAK,12,5,4,3,4,0,7,11,2,7,5,4,0,14,16,21,4,1,4.666666667,1,19.33333333,10,7,2,2,1.333333333,9,10
Sri Pahang,30/9/2023,21:00,H,KUCHING CITY FC,3,2,W,STADIUM DARUL MAKMUR  KUANTAN,13,17,6,8,1,0,14,8,6,6,8,2,1,15,5,21,5,1,3.333333333,1.333333333,14.33333333,6.333333333,4.333333333,6.333333333,3.666666667,1.333333333,9,14
Terengganu,29/9/2023,21:00,H,SELANGOR FC,0,4,L,STADIUM SULTAN MIZAN ZAINAL ABIDIN  GONG BADAK,5,12,3,4,0,4,11,7,7,2,4,5,1,16,14,21,4,0,3.666666667,1,16.66666667,7,3,3.333333333,3,0.333333333,10.66666667,14
